Rank,Distributive,HPD
1,MX Linux,2638
2,Mint,2143
3,EndeavourOS,1727
4,Debian,1576
5,Manjaro,1161
6,Ubuntu,1031
7,Fedora,905
8,Pop!_OS,885
9,openSUSE,776
10,Zorin,659
11,Garuda,584
12,Lite,566
13,antiX,516
14,KDE neon,502
15,elementary,491
16,Nobara,489
17,Mageia,457
18,NixOS,396
19,Vanilla,391
20,PCLinuxOS,371
21,FreeBSD,370
22,Kali,369
23,SparkyLinux,356
24,Puppy,348
25,AlmaLinux,342
26,ArcoLinux,323
27,CachyOS,322
28,Peppermint,316
29,Q4OS,313
30,EasyOS,302
31,Devuan,291
32,TUXEDO,288
33,Alpine,285
34,Solus,284
35,blendOS,282
36,Voyager,259
37,Kubuntu,258
38,Bodhi,255
39,SmartOS,242
40,Tails,234
41,Slackware,226
42,SpiralLinux,222
43,Gnoppix,215
44,XeroLinux,207
45,Regata,204
46,KaOS,202
47,Rocky,201
48,OpenMandriva,200
49,PureOS,198
50,Lubuntu,197
51,Bluestar,192
52,Clear,185
53,CentOS,181
54,Fatdog64,178
55,Xubuntu,176
56,Athena,173
57,GhostBSD,172
58,Parrot,171
59,Neptune,168
60,Qubes,167
61,MakuluLinux,166
62,Gentoo,165
63,Archcraft,164
64,Linuxfx,164
65,Red Hat,164
66,siduction,161
67,Rhino,160
68,TrueNAS,160
69,Arch,159
70,ReactOS,157
71,Murena,156
72,Ultramarine,156
73,Proxmox,150
74,Artix,149
75,BigLinux,147
76,ALT,146
77,Absolute,142
78,Void,142
79,OpenBSD,141
80,Emmabuntüs,137
81,Oracle,137
82,wattOS,136
83,Mabox,133
84,Slax,133
85,Ubuntu MATE,133
86,SysLinuxOS,131
87,Archman,129
88,4MLinux,127
89,Br OS,127
90,EuroLinux,127
91,LXLE,127
92,Nitrux,127
93,Haiku,126
94,Feren,125
95,Tiny Core,125
96,Ubuntu Studio,125
97,Kodachi,124
98,NuTyX,124
99,RebornOS,123
100,deepin,119
